statecode,countycode,fipscode,state,county,year,county_ranked,premature_death,adult_smoking,adult_obesity,food_environment_index,physical_inactivity,access_to_exercise_opportunities,excessive_drinking,alcohol_impaired_driving_deaths,sexually_transmitted_infections,teen_births,uninsured,primary_care_physicians,dentists,mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,high_school_graduation,some_college,unemployment,children_in_poverty,income_inequality,children_in_single_parent_households,social_associations,violent_crime,injury_deaths,air_pollution_particulate_matter,drinking_water_violations,severe_housing_problems,driving_alone_to_work,long_commute_driving_alone
1,1,1001,AL,Autauga County,2019,1.0,8824.0571232,0.191246585,0.375,7.2,0.311,0.686775027,0.1687801512,0.2881355932,341.2,26.52420801,0.085009665,0.0004150426,0.000324301,0.0001621505,6599.0,0.44,0.41,0.9,0.6085466499000001,0.0386352233,0.193,4.636663877799999,0.24700096859999998,12.631730908,272.28222006,74.031808398,11.7,0.0,0.1495464575,0.8596505653000001,0.38299999999999995
1,3,1003,AL,Baldwin County,2019,1.0,7224.6321603,0.16795485149999997,0.31,8.0,0.23800000000000002,0.7197103119,0.16714968689999998,0.31875,338.8,29.594009426,0.10699288039999999,0.0007287966000000001,0.0004985232,0.0009123916,3833.0,0.45,0.45,0.863615768,0.6613392634,0.0398833641,0.147,4.5185596041,0.2518409096,10.692212904,203.66039629,69.374288987,10.3,1.0,0.1383172525,0.8471942348,0.405
1,5,1005,AL,Barbour County,2019,1.0,9586.165037,0.2154087757,0.44299999999999995,5.6,0.282,0.5362566923,0.1269871542,0.2962962963,557.9,45.092838196,0.12513196640000002,0.00038513379999999996,0.0003561535,7.91452e-05,4736.0,0.46,0.37,0.8141025640999999,0.36774008049999996,0.0590092278,0.503,5.7550626063,0.5721574344,8.4729443482,414.27786068,72.90013441,11.5,0.0,0.15455531449999999,0.8340435333,0.33799999999999997
1,7,1007,AL,Bibb County,2019,1.0,11783.543675,0.1991640424,0.37799999999999995,7.6,0.349,0.1625136374,0.15925150789999998,0.2727272727,302.1,45.454545455,0.09680075279999999,0.0005741289,0.0002646903,8.823010000000001e-05,5998.0,0.44,0.39,0.8376383764,0.4840631037,0.043851399000000006,0.273,4.2545944386,0.2956540355,10.15766462,89.349125982,100.0779368,11.2,0.0,0.1096085409,0.8636590229000001,0.486
1,9,1009,AL,Blount County,2019,1.0,10908.101822,0.19652158179999998,0.344,8.5,0.285,0.2294930393,0.1537872189,0.21875,114.3,35.600555238000005,0.1211400416,0.0002252877,0.0002068502,0.0001034251,4162.0,0.36,0.38,0.9346879536,0.5441399754,0.0402139299,0.185,4.1268834637000005,0.2956973294,9.0115070012,482.69061089,105.1972275,11.7,0.0,0.1040115301,0.8679227508,0.597
1,11,1011,AL,Bullock County,2019,1.0,12066.910263,0.2347829118,0.39399999999999996,4.2,0.292,0.2669048928,0.1289631731,0.6071428571,733.9,54.593175853000005,0.1320648344,0.0002895194,0.0001940052,9.70026e-05,6767.0,0.44,0.26,0.7024793387999999,0.33620689659999997,0.0492518703,0.483,6.5995234786,0.7615740741,9.650646593300001,311.0273327,109.91093424,11.2,0.0,0.2075983718,0.7307692308,0.473
1,13,1013,AL,Butler County,2019,1.0,14018.606262000001,0.2219765552,0.402,6.5,0.34700000000000003,0.4857974889,0.1304281127,0.3125,827.7,42.14559387,0.1066708425,0.00030003,0.0003026482,0.00035308949999999996,7962.0,0.42,0.35,0.8158995816,0.3844417077,0.054884864699999994,0.33,5.1227855834,0.5256438477,11.501150115,581.58400519,95.486283793,10.6,0.0,0.1378026071,0.8356290174,0.318
1,15,1015,AL,Calhoun County,2019,1.0,12217.759984,0.2046223175,0.371,6.9,0.302,0.44713760420000004,0.1543167701,0.1785714286,587.5,37.049638955,0.1119820587,0.0006456623000000001,0.0006450038,0.0009849383,6450.0,0.33,0.38,0.9236804565000001,0.5752221569,0.0493396516,0.242,4.9838135691000005,0.3929777178,14.309272234000002,756.06654427,82.062149093,11.8,0.0,0.1453881076,0.8502235951999999,0.306
1,17,1017,AL,Chambers County,2019,1.0,11273.170979999999,0.2204036962,0.40299999999999997,6.3,0.324,0.6186467923,0.13528450890000002,0.3421052632,792.3,49.574866695,0.1065698299,0.0005023194999999999,0.000207635,5.9324300000000004e-05,5511.0,0.38,0.43,0.8623853211,0.4713993871,0.0407880865,0.29600000000000004,4.7392343032,0.48405594409999997,17.728924741,528.99973623,81.216123166,11.4,0.0,0.1606819006,0.8710764693,0.309
1,19,1019,AL,Cherokee County,2019,1.0,11294.41054,0.1914485261,0.363,8.5,0.318,0.3342952788,0.1523273067,0.1785714286,169.0,41.122588189,0.1189542484,0.0003498542,0.000154697,0.0001933712,6577.0,0.33,0.43,0.949044586,0.5006360167,0.0405405405,0.25,4.786069357300001,0.2642244739,10.106899903,330.43879198,105.64384914,11.4,0.0,0.1546985816,0.8497585038,0.434
